,bike_count,temp,humidity,dew_pt_temp,radiation,rain,snow
12,449,1.7,23,-17.2,1.11,0.0,0.0
36,479,4.3,41,-7.8,1.09,0.0,0.0
60,333,5.8,85,3.4,0.43,0.0,0.0
84,393,-0.3,38,-12.9,1.11,0.0,0.0
108,321,-2.3,25,-19.7,0.0,0.0,0.0
132,405,2.4,52,-6.4,1.08,0.0,0.0
156,431,3.7,65,-2.2,0.98,0.0,0.3
180,355,-2.0,30,-17.3,1.14,0.0,0.0
204,427,2.4,40,-9.8,1.05,0.0,0.0
228,119,2.3,88,0.5,0.28,0.0,3.1
252,247,-5.2,33,-19.0,1.26,0.0,0.0
276,228,-8.3,35,-21.0,1.14,0.0,0.0
300,267,-6.5,30,-21.2,1.17,0.0,0.0
324,278,-4.9,34,-18.3,0.6,0.0,0.0
348,309,-2.5,43,-13.3,0.34,0.0,0.0
372,252,-4.1,28,-19.9,1.08,0.0,0.0
396,216,-4.9,25,-21.9,1.08,0.0,0.0
420,62,-1.8,83,-4.3,0.09,1.1,5.1
444,191,-2.5,31,-17.3,1.08,0.0,2.3
468,209,-3.2,49,-12.4,0.53,0.0,1.9
492,290,1.9,40,-10.3,1.04,0.0,1.9
516,301,4.5,56,-3.5,0.71,0.0,0.0
540,325,7.0,72,2.2,0.64,0.0,0.0
564,4,4.1,91,2.7,0.07,9.5,0.0
588,221,-1.6,33,-15.8,1.18,0.0,0.0
612,262,-1.3,23,-19.8,1.09,0.0,0.0
636,230,-5.5,21,-24.4,1.08,0.0,0.0
660,286,-0.8,38,-13.3,0.75,0.0,0.0
684,363,4.3,62,-2.3,0.52,0.0,0.0
708,274,3.2,64,-2.9,0.47,0.0,0.0
732,209,1.4,47,-8.7,1.1,0.0,1.0
756,225,1.5,20,-19.0,1.03,0.0,0.0
780,293,0.9,29,-15.1,0.88,0.0,0.0
804,297,-3.4,32,-17.7,1.02,0.0,0.0
828,290,-2.9,33,-16.9,0.92,0.0,0.0
852,362,-0.3,45,-10.8,1.01,0.0,0.0
876,283,0.0,35,-13.6,1.07,0.0,0.0
900,278,1.1,34,-13.0,0.6,0.0,0.0
924,356,2.7,33,-12.0,0.6,0.0,0.0
948,262,-2.7,45,-13.0,1.05,0.0,0.4
972,217,-5.6,44,-15.9,1.1,0.0,0.5
996,187,-8.6,40,-19.8,1.11,0.0,0.0
1020,178,-9.6,27,-25.1,1.17,0.0,0.0
1044,174,-3.7,66,-9.1,0.45,0.2,0.4
1068,226,1.2,58,-6.1,0.74,0.0,0.0
1092,311,6.2,64,-0.1,0.79,0.0,0.0
1116,276,5.2,52,-3.8,0.45,0.0,0.0
1140,310,8.1,51,-1.4,0.75,0.0,0.0
1164,267,2.5,72,-2.0,0.0,0.0,0.0
1188,341,4.3,28,-12.6,0.98,0.0,0.0
1212,325,5.3,55,-3.0,0.85,0.0,0.0
1236,271,3.9,30,-12.1,0.91,0.0,0.0
1260,323,3.9,28,-12.9,0.6,0.0,0.0
1284,180,-11.3,27,-26.6,1.18,0.0,1.0
1308,121,-12.2,26,-27.8,1.17,0.0,0.9
1332,142,-12.8,25,-28.7,1.16,0.0,0.6
1356,111,-14.4,30,-28.2,1.17,0.0,0.5
1380,145,-7.7,32,-21.5,1.13,0.0,0.3
1404,189,-3.5,26,-20.2,1.07,0.0,0.0
1428,186,-7.3,23,-24.9,1.17,0.0,0.0
1452,253,-3.2,32,-17.5,1.01,0.0,0.0
1476,160,-1.0,35,-14.5,0.64,0.0,3.0
1500,240,-1.1,31,-16.1,1.2,0.0,1.3
1524,303,0.9,37,-12.1,1.12,0.0,0.0
1548,192,-6.0,38,-18.0,2.04,0.0,0.0
1572,165,-8.3,32,-22.1,1.99,0.0,0.0
1596,157,-7.8,28,-23.1,2.12,0.0,0.0
1620,172,-8.2,31,-22.3,2.09,0.0,0.0
1644,188,-6.0,24,-23.3,1.97,0.0,0.0
1668,253,-1.5,35,-15.0,1.9,0.0,0.0
